20201010,Matemáticas,75.5,80.0,90.5,88.0
20201010,Ciencias,85.0,79.5,88.0,90.0
20201010,Historia,70.0,65.5,72.0,75.0
20201010,Lenguaje,90.0,85.5,92.0,91.0
20201010,Geografía,78.0,80.5,83.0,82.0
20201011,Matemáticas,82.0,85.5,88.0,87.0
20201011,Ciencias,80.0,82.5,85.0,83.5
20201011,Historia,75.0,70.5,77.0,74.0
20201011,Lenguaje,88.0,90.5,91.0,89.0
20201011,Geografía,80.0,82.0,85.5,83.0
20201012,Matemáticas,78.5,76.0,80.5,82.0
20201012,Ciencias,85.5,87.0,88.0,86.0
20201012,Historia,72.0,75.5,70.0,73.0
20201012,Lenguaje,90.0,92.5,94.0,93.0
20201012,Geografía,81.0,79.5,84.0,82.5
20201013,Matemáticas,77.0,80.0,78.5,81.0
20201013,Ciencias,83.0,85.5,82.0,84.0
20201013,Historia,68.5,72.0,70.5,69.0
20201013,Lenguaje,88.0,86.5,89.0,87.5
20201013,Geografía,79.0,77.5,81.0,80.0
20201014,Matemáticas,84.0,82.5,86.0,85.5
20201014,Ciencias,87.0,89.0,90.5,88.0
20201014,Historia,76.0,75.5,78.0,77.5
20201014,Lenguaje,91.0,93.5,95.0,92.0
20201014,Geografía,82.0,84.0,85.5,83.0
20201015,Matemáticas,79.5,81.0,83.5,80.0
20201015,Ciencias,88.0,86.5,85.0,87.0
20201015,Historia,70.5,68.0,72.5,71.0
20201015,Lenguaje,92.0,94.5,96.0,93.5
20201015,Geografía,81.0,79.0,82.5,80.5
20201016,Matemáticas,80.0,82.0,84.5,83.0
20201016,Ciencias,90.0,89.5,91.0,88.5
20201016,Historia,74.0,76.5,78.0,75.0
20201016,Lenguaje,95.0,93.5,94.0,96.0
20201016,Geografía,85.0,87.5,86.0,84.5
20201017,Matemáticas,76.0,78.5,79.0,80.5
20201017,Ciencias,83.5,81.0,84.0,82.5
20201017,Historia,70.0,68.5,69.0,70.5
20201017,Lenguaje,89.0,87.5,88.0,90.0
20201017,Geografía,78.0,76.5,77.0,79.5
20201018,Matemáticas,84.0,82.5,83.0,85.0
20201018,Ciencias,86.0,88.5,87.0,89.0
20201018,Historia,75.5,73.0,74.5,76.0
20201018,Lenguaje,91.0,92.5,93.0,90.5
20201018,Geografía,80.0,82.5,83.5,81.0
20201019,Matemáticas,79.0,81.5,80.0,82.0
20201019,Ciencias,84.5,86.0,85.0,83.5
20201019,Historia,71.0,72.5,73.0,74.5
20201019,Lenguaje,88.5,89.0,91.5,87.0
20201019,Geografía,82.0,80.5,81.0,83.5
20201020,Matemáticas,81.0,83.5,85.0,82.5
20201020,Ciencias,85.5,84.0,87.5,86.0
20201020,Historia,73.0,70.5,74.0,72.5
20201020,Lenguaje,92.0,91.5,93.0,94.0
20201020,Geografía,78.5,80.0,79.5,77.0
20201021,Matemáticas,76.0,78.5,80.0,79.5
20201021,Ciencias,82.0,80.5,83.0,81.0
20201021,Historia,70.5,71.0,69.5,72.0
20201021,Lenguaje,85.0,86.5,87.0,88.5
20201021,Geografía,81.0,79.5,80.0,78.0
20201022,Matemáticas,84.5,83.0,85.5,87.0
20201022,Ciencias,88.0,87.5,86.0,89.5
20201022,Historia,74.0,72.5,75.0,73.0
